Round Lake Beach,91,111,155,141
Route 59,"6,103","5,547","5,363","4,976"
Schaumburg,"1,563","1,735","1,771","1,634"
Schiller Park,48,31,33,-
South Bend Airport,-,-,-,102
South Shore,111,142,164,431
State Street,33,32,46,67
Stewart Ridge,20,28,38,56
Stone Avenue (LaGrange),822,864,905,894
Stony Island,86,141,135,229
Summit,103,104,78,82
Tinley Park,954,959,"1,042","1,217"
Union Station,"55,979","55,565","55,098","50,337"
University Park,777,828,935,979
Van Buren Street,"3,493","3,893","4,268","8,583"
Vernon Hills,365,384,436,256
Villa Park,852,825,898,896
Washington Heights,123,137,161,286
Washington St. (Grayslake),84,95,108,-
Waukegan,737,796,926,924
West Chicago,589,556,583,584
West Hinsdale,306,304,281,262
West Pullman,9,19,32,33
Western Avenue (18th),73,77,108,77
Western Avenue (Grand),846,"1,279",888,"1,154"
Western Springs,"1,190","1,118","1,107","1,055"
Westmont,960,"1,096","1,107","1,236"
Wheaton,"1,538","1,700","1,538","1,661"
Wheeling,332,398,334,228
Willow Springs,159,125,106,106
Wilmette,"1,560","1,506","1,172","1,338"
Windsor Park,55,76,91,293
Winfield,536,548,542,461
Winnetka,761,741,598,634
Winthrop Harbor,73,68,73,75
Wood Dale,585,550,564,568
Woodstock,286,308,381,410
Worth,382,431,435,399
Wrightwood,260,227,295,157
Zion,102,122,155,107
