GEOID,w,today,scenario,status,saved,redpct
080310003014,1,,,no_transit_either,,
080310004011,1,,,no_transit_either,,
080310005011,1,,,no_transit_either,,
080310007041,1,,,no_transit_either,,
080310007061,1,,,no_transit_either,,
080310009053,1,,,no_transit_either,,
080310014033,1,,,no_transit_either,,
080310020003,1,,,no_transit_either,,
080310023001,1,,,no_transit_either,,
080310027042,1,,,no_transit_either,,
080310028023,1,,,no_transit_either,,
080310030032,1,,,no_transit_either,,
080310030043,1,,,no_transit_either,,
080310032021,1,,,no_transit_either,,
080310037021,1,,,no_transit_either,,
080310037031,1,,,no_transit_either,,
080310038022,1,,,no_transit_either,,
080310041046,1,,,no_transit_either,,
080310041111,1,,,no_transit_either,,
080310042011,1,,,no_transit_either,,
080310042015,1,,,no_transit_either,,
080310043061,1,,,no_transit_either,,
080310043082,1,,,no_transit_either,,
080310044041,1,,,no_transit_either,,
080310044042,1,,,no_transit_either,,
080310045031,1,,,no_transit_either,,
080310046023,2,,,no_transit_either,,
080310050032,1,,,no_transit_either,,
080310068141,1,,,no_transit_either,,
080310070061,1,,,no_transit_either,,
080310070372,1,,,no_transit_either,,
080310070373,1,,,no_transit_either,,
080310083911,1,,,no_transit_either,,
080310120011,1,,,no_transit_either,,
080310120152,1,,,no_transit_either,,
080310157001,1,,,no_transit_either,,
080350139103,1,,,no_transit_either,,
080350139115,1,,,no_transit_either,,
080350139131,1,,,no_transit_either,,
080350139141,1,,,no_transit_either,,
080350139151,1,,,no_transit_either,,
080350140062,1,,,no_transit_either,,
080350140132,1,,,no_transit_either,,
080350140143,1,,,no_transit_either,,
080350141122,1,,,no_transit_either,,
080350141281,1,,,no_transit_either,,
080350141332,1,,,no_transit_either,,
080350141381,1,,,no_transit_either,,
080350141392,1,,,no_transit_either,,
080350141443,1,,,no_transit_either,,
080350142032,1,,,no_transit_either,,
080350142061,1,,,no_transit_either,,
080350144091,1,,,no_transit_either,,
080350145061,1,,,no_transit_either,,
080370004022,1,,,no_transit_either,,
080410006003,1,,,no_transit_either,,
080410016002,1,,,no_transit_either,,
080410031004,1,,,no_transit_either,,
080410039142,1,,,no_transit_either,,
080410045131,1,,,no_transit_either,,
080410045174,1,,,no_transit_either,,
080410071032,1,,,no_transit_either,,
080410072061,1,,,no_transit_either,,
080410078011,1,,,no_transit_either,,
080439782001,1,,,no_transit_either,,
080490002071,1,,,no_transit_either,,
080519637021,1,,,no_transit_either,,
080590098282,1,,,no_transit_either,,
080590098583,1,,,no_transit_either,,
080590113001,1,,,no_transit_either,,
080590114021,1,,,no_transit_either,,
080590114022,1,,,no_transit_either,,
080590117024,1,,,no_transit_either,,
080590118061,1,,,no_transit_either,,
080590120471,1,,,no_transit_either,,
080590158003,1,,,no_transit_either,,
081010029161,1,,,no_transit_either,,
081190102034,1,,,no_transit_either,,
090034711003,1,,,no_transit_either,,
090034969007,1,,,no_transit_either,,
090075415002,1,,,no_transit_either,,
090076801023,1,,,no_transit_either,,
090091547006,1,,,no_transit_either,,
090091671024,1,,,no_transit_either,,
090091710001,1,,,no_transit_either,,
090091712022,1,,,no_transit_either,,
090091841015,1,,,no_transit_either,,
090091847003,1,,,no_transit_either,,
090091903011,1,,,no_transit_either,,
090091903025,1,,,no_transit_either,,
110010002012,1,,,no_transit_either,,
110010003003,1,,,no_transit_either,,
110010005021,1,,,no_transit_either,,
110010008022,1,,,no_transit_either,,
110010008043,1,,,no_transit_either,,
110010023012,1,,,no_transit_either,,
110010046002,1,,,no_transit_either,,
110010047032,1,,,no_transit_either,,
110010056011,1,,,no_transit_either,,
110010056013,1,,,no_transit_either,,
110010080022,1,,,no_transit_either,,
110010083022,1,,,no_transit_either,,
110010096033,1,,,no_transit_either,,
110010107002,1,,,no_transit_either,,
120090611004,1,,,no_transit_either,,
120090621084,1,,,no_transit_either,,
120090621121,1,,,no_transit_either,,
120090621152,1,,,no_transit_either,,
120090623013,1,,,no_transit_either,,
120090631061,1,,,no_transit_either,,
120090631082,1,,,no_transit_either,,
120090631092,1,,,no_transit_either,,
120090641021,1,,,no_transit_either,,
120090641022,2,,,no_transit_either,,
120090645002,2,,,no_transit_either,,
120090646011,1,,,no_transit_either,,
120090651301,1,,,no_transit_either,,
120090651302,1,,,no_transit_either,,
120090652313,1,,,no_transit_either,,
120090652371,1,,,no_transit_either,,
120090686011,1,,,no_transit_either,,
120090699043,1,,,no_transit_either,,
120090713461,1,,,no_transit_either,,
120090713482,1,,,no_transit_either,,
120090713502,1,,,no_transit_either,,
120090713541,1,,,no_transit_either,,
120090716011,1,,,no_transit_either,,
120110204172,1,,,no_transit_either,,
120110405021,1,,,no_transit_either,,
120110405023,1,,,no_transit_either,,
120110405051,1,,,no_transit_either,,
120110405061,1,,,no_transit_either,,
120110406023,1,,,no_transit_either,,
120110406024,1,,,no_transit_either,,
120110408022,1,,,no_transit_either,,
120110413004,1,,,no_transit_either,,
120110420001,1,,,no_transit_either,,
120110422002,1,,,no_transit_either,,
120110423011,1,,,no_transit_either,,
120110426012,1,,,no_transit_either,,
120110429004,1,,,no_transit_either,,
120110502073,1,,,no_transit_either,,
120110502081,1,,,no_transit_either,,
120110502083,1,,,no_transit_either,,
120110503152,1,,,no_transit_either,,
120110504012,1,,,no_transit_either,,
120110505011,1,,,no_transit_either,,
120110506022,1,,,no_transit_either,,
120110601051,1,,,no_transit_either,,
120110601131,1,,,no_transit_either,,
120110601133,1,,,no_transit_either,,
120110601155,1,,,no_transit_either,,
120110601242,1,,,no_transit_either,,
120110602102,1,,,no_transit_either,,
120110602142,1,,,no_transit_either,,
120110603022,1,,,no_transit_either,,
120110603033,1,,,no_transit_either,,
120110603051,1,,,no_transit_either,,
120110606031,1,,,no_transit_either,,
120110610013,1,,,no_transit_either,,
120110702112,1,,,no_transit_either,,
120110703142,1,,,no_transit_either,,
120110703312,1,,,no_transit_either,,
120110704022,1,,,no_transit_either,,
120110704052,1,,,no_transit_either,,
120110705013,1,,,no_transit_either,,
120110905032,1,,,no_transit_either,,
120110905043,1,,,no_transit_either,,
120110919013,1,,,no_transit_either,,
120111007003,1,,,no_transit_either,,
120111103232,1,,,no_transit_either,,
120111103261,1,,,no_transit_either,,
120111103274,1,,,no_transit_either,,
120111103451,1,,,no_transit_either,,
120111103582,1,,,no_transit_either,,
120111103611,1,,,no_transit_either,,
120111103622,1,,,no_transit_either,,
120150104022,1,,,no_transit_either,,
120150105032,1,,,no_transit_either,,
120150105051,1,,,no_transit_either,,
120150201013,1,,,no_transit_either,,
120150201014,1,,,no_transit_either,,
120150210011,1,,,no_transit_either,,
120150210031,1,,,no_transit_either,,
120150301022,1,,,no_transit_either,,
120150302011,1,,,no_transit_either,,
120150302014,1,,,no_transit_either,,
120150304011,1,,,no_transit_either,,
120150305071,1,,,no_transit_either,,
120150305072,1,,,no_transit_either,,
120190302063,1,,,no_transit_either,,
120190307082,1,,,no_transit_either,,
120310006002,1,,,no_transit_either,,
120310021022,1,,,no_transit_either,,
120310127043,1,,,no_transit_either,,
120310128005,1,,,no_transit_either,,
120310131001,1,,,no_transit_either,,
120310135254,1,,,no_transit_either,,
120310137281,1,,,no_transit_either,,
120330011031,1,,,no_transit_either,,
120330014024,1,,,no_transit_either,,
120330026042,1,,,no_transit_either,,
120330030022,1,,,no_transit_either,,
120330031003,1,,,no_transit_either,,
120330036123,1,,,no_transit_either,,
120350601032,1,,,no_transit_either,,
120390201011,1,,,no_transit_either,,
120390206003,1,,,no_transit_either,,
120530403022,1,,,no_transit_either,,
120530403032,1,,,no_transit_either,,
120530409071,1,,,no_transit_either,,
120530411042,1,,,no_transit_either,,
120530414013,1,,,no_transit_either,,
120570101051,1,,,no_transit_either,,
120570102113,1,,,no_transit_either,,
120570102162,1,,,no_transit_either,,
120570103043,1,,,no_transit_either,,
120570108101,1,,,no_transit_either,,
120570108231,1,,,no_transit_either,,
120570110182,1,,,no_transit_either,,
120570110193,1,,,no_transit_either,,
120570122073,1,,,no_transit_either,,
120570122102,1,,,no_transit_either,,
120570122111,1,,,no_transit_either,,
120570122121,1,,,no_transit_either,,
120570122122,1,,,no_transit_either,,
120570130011,1,,,no_transit_either,,
120570134093,1,,,no_transit_either,,
120570134131,1,,,no_transit_either,,
120570134142,1,,,no_transit_either,,
120570135031,1,,,no_transit_either,,
120570136022,1,,,no_transit_either,,
120570137022,1,,,no_transit_either,,
120570138043,1,,,no_transit_either,,
120570139131,1,,,no_transit_either,,
120570139142,1,,,no_transit_either,,
120570139162,1,,,no_transit_either,,
120570139194,1,,,no_transit_either,,
120570139261,1,,,no_transit_either,,
120570141171,1,,,no_transit_either,,
120610508083,1,,,no_transit_either,,
120610508114,1,,,no_transit_either,,
120710009003,1,,,no_transit_either,,
120710010022,1,,,no_transit_either,,
120710012093,1,,,no_transit_either,,
120710017101,1,,,no_transit_either,,
120710101062,1,,,no_transit_either,,
120710101122,1,,,no_transit_either,,
120710102082,2,,,no_transit_either,,
120710103061,1,,,no_transit_either,,
120710104111,1,,,no_transit_either,,
120710104124,1,,,no_transit_either,,
120710203013,1,,,no_transit_either,,
120710204003,1,,,no_transit_either,,
120710208012,1,,,no_transit_either,,
120710401201,2,,,no_transit_either,,
120710401221,1,,,no_transit_either,,
120710401291,1,,,no_transit_either,,
120710401362,1,,,no_transit_either,,
120710402055,1,,,no_transit_either,,
120710402061,1,,,no_transit_either,,
120710402072,1,,,no_transit_either,,
120710402102,1,,,no_transit_either,,
120710403033,1,,,no_transit_either,,
120710403081,1,,,no_transit_either,,
120710403162,1,,,no_transit_either,,
120710501063,1,,,no_transit_either,,
120710502071,1,,,no_transit_either,,
120710503061,2,,,no_transit_either,,
120710503115,1,,,no_transit_either,,
120710503182,1,,,no_transit_either,,
120710503183,1,,,no_transit_either,,
120710503201,1,,,no_transit_either,,
120710503222,1,,,no_transit_either,,
120710504012,1,,,no_transit_either,,
120710505012,1,,,no_transit_either,,
120810001051,1,,,no_transit_either,,
120810003042,1,,,no_transit_either,,
120810004053,1,,,no_transit_either,,
120810004063,1,,,no_transit_either,,
120810004092,1,,,no_transit_either,,
120810008051,1,,,no_transit_either,,
120810011081,1,,,no_transit_either,,
