GEOID,pop,scenario,today
170311004002,864,45,45
170311004003,1420,31,31
170311005001,1050,21,21
170311005002,826,28,28
170311005003,944,30,30
170311005004,1292,34,34
170311005005,2004,41,41
170311006001,1052,31,31
170311006002,1080,31,31
170311006003,1192,27,27
170311006004,1573,27,27
170311007001,830,37,37
170311007002,879,39,39
170311007003,1041,38,38
170311007004,934,34,34
170311007005,1283,31,31
170311101001,1654,36,36
170311101002,1154,36,36
170311101003,672,37,37
170311101004,993,38,38
170311101005,1095,38,38
170311102001,1553,34,34
170311102002,1219,36,37
170311103001,714,38,38
170311103002,1079,34,34
170311103003,756,32,32
170311103004,1417,34,34
170311103005,1382,37,37
170311104001,1719,35,35
170311104002,1429,34,34
170311104003,1374,32,32
170311105011,827,33,33
170311105012,1751,33,33
170311105013,649,38,38
170311105014,1559,33,33
170311105021,1445,25,25
170311105022,1775,29,29
170311201001,1615,44,44
170311201002,969,42,42
170311201003,798,44,44
170311201004,1020,46,46
170311202001,1768,41,41
170311202002,958,40,40
170311202003,862,45,45
170311202004,1160,45,45
170311203001,1144,57,57
170311203002,1379,50,50
170311203003,1514,50,50
170311203004,939,46,46
170311203005,953,58,58
170311203006,991,50,50
170311204001,925,41,41
170311204002,1122,34,34
170311204003,1479,35,35
170311301001,1261,58,58
170311301002,1842,57,57
170311301003,2102,59,59
170311302001,1403,51,51
170311303001,692,57,57
170311303002,889,57,57
170311303003,1768,55,55
170311303004,1734,54,54
170311401001,1472,52,52
170311401002,1992,52,52
170311402001,2189,50,50
170311402002,1507,48,48
170311402003,2138,48,48
170311403011,1196,44,44
170311403012,1497,42,42
170311403021,878,44,44
170311403022,1536,46,46
170311403023,1646,44,44
170311404001,1375,43,43
170311404002,1042,42,42
170311404003,1094,42,42
170311404004,1219,41,41
170311404005,1773,39,39
170311405001,1107,41,41
170311405002,1030,40,40
170311405003,1314,41,41
170311406011,2545,41,41
170311406021,925,45,45
170311406022,1836,46,46
170311406023,1403,45,45
170311406024,877,42,42
170311407011,1390,50,50
170311407012,1394,46,46
170311407021,1530,48,48
170311407022,1415,46,46
170311407023,1392,47,47
170311407024,1198,45,45
170311408001,1023,52,52
170311408002,833,53,53
170311408003,1119,52,52
170311408004,1462,51,51
170311408005,2049,53,53
170311502001,1180,37,37
170311502002,1533,36,36
170311502003,1333,40,40
170311502004,2042,35,35
170311502005,1346,34,34
170311503001,1019,32,32
170311503002,1236,37,37
170311503003,842,41,41
170311503004,1021,44,44
170311503005,751,41,41
170311503006,998,38,38
170311503007,1253,32,32
170311504011,1174,32,32
170311504012,1277,38,38
170311504013,1183,34,34
170311504014,1047,38,38
170311504021,837,43,43
170311504022,1243,41,41
170311504023,1751,42,42
170311505011,1566,39,39
170311505012,888,44,44
170311505013,1369,40,40
170311505021,1568,46,46
170311505022,1347,39,39
170311505023,1324,47,47
170311506001,1085,44,44
170311506002,938,46,46
170311506003,1022,44,44
170311506004,837,42,42
170311507001,1088,45,45
170311507002,1147,50,50
170311507003,935,46,46
170311507004,1259,44,44
170311508001,820,42,42
170311508002,923,45,45
170311508003,1186,48,48
170311508004,1073,48,48
170311508005,901,43,43
170311510011,1922,56,56
170311510012,911,54,54
170311510021,1300,52,52
170311510022,1244,49,49
170311510023,1393,50,50
170311510024,651,48,48
170311511001,1538,51,51
170311511002,1357,53,53
170311511003,1189,49,49
170311511004,1056,48,48
170311512001,1232,49,49
170311512002,1231,50,50
170311512003,1417,46,46
170311601001,1648,32,32
170311601002,796,30,30
170311602001,626,37,37
170311602002,668,34,34
170311602003,616,36,36
170311602004,1368,38,38
170311603001,1944,33,33
170311603002,827,30,30
170311603003,998,36,36
170311604001,2356,42,42
170311604002,1563,35,35
170311604003,935,40,40
170311605011,1838,47,47
170311605012,1865,45,45
170311605021,651,44,44
170311605022,1500,44,44
170311605023,1149,42,42
170311606011,1430,50,50
170311606012,740,51,51
170311606013,1210,52,52
170311606021,1062,46,46
170311606022,1069,47,47
170311606023,1350,48,48
170311607001,849,50,50
170311607002,932,47,47
170311607003,1674,48,48
170311607004,1240,45,45
170311607005,1071,47,47
170311608001,1185,43,43
170311608002,917,38,38
170311608003,841,33,33
170311608004,730,36,36
170311608005,1324,40,40
170311609001,1355,33,33
170311609002,1055,34,34
170311610001,852,32,32
170311610002,1047,37,37
170311611001,920,38,38
170311611002,1020,41,41
170311612001,1187,46,46
170311612002,1633,49,49
170311613001,637,40,40
170311613002,1056,42,42
170311613003,906,44,44
170311613004,1300,42,42
170311701001,2034,53,53
170311702001,1114,43,43
170311702002,1556,48,48
170311702003,1142,48,48
170311703001,797,58,58
170311703002,968,46,46
170311703003,902,43,43
170311703004,1050,42,42
170311703005,1499,40,40
170311704001,903,39,39
170311704002,1041,40,40
170311704003,1154,44,44
170311704004,1043,43,43
170311705001,1712,52,52
170311705002,738,39,39
170311705003,1433,41,41
170311705004,1433,41,41
170311706001,954,48,48
170311706002,1597,44,44
170311707001,1021,49,49
170311707002,925,50,50
170311707003,1122,51,51
170311708001,1238,42,42
170311708002,1227,43,43
170311708003,1334,49,49
170311709001,1662,46,46
170311710001,1345,52,52
170311710002,1416,54,54
170311710003,909,52,52
170311710004,1158,51,51
170311710005,1218,47,47
170311710006,1267,42,42
170311711001,1336,48,48
170311711002,1683,48,48
170311711003,1216,52,52
170311801001,1074,54,54
170311801002,1464,55,55
170311801003,1412,50,50
170311801004,1234,49,49
170311801005,1472,44,44
170311901001,2325,52,52
170311902001,1232,52,52
170311902002,1515,54,54
170311902003,1590,56,56
170311902004,1315,57,57
170311903001,1261,53,53
170311903002,1547,54,54
170311903003,1700,54,54
170311903004,1230,54,54
170311904011,1702,51,51
170311904012,2623,51,51
170311904021,2270,51,51
170311904022,3024,52,52
170311906011,1116,55,55
170311906012,1124,55,55
170311906013,2142,50,50
170311906021,1352,51,51
170311906022,2112,54,54
170311906023,1914,53,53
170311907011,1735,53,53
170311907012,1237,56,56
170311907021,1426,54,54
170311907022,1508,59,59
170311907023,2018,56,57
170311908001,977,57,57
170311908002,1074,59,59
170311908003,1715,60,61
170311908004,1760,61,61
170311908005,1305,60,60
170311909001,1927,58,58
170311910001,935,54,60
170311910002,1487,49,62
170311911001,796,52,61
170311911002,1001,45,61
170311911003,1094,49,65
170311911004,1468,53,63
170311911005,2182,52,63
170311911006,992,48,65
170311912001,2677,55,62
170311912002,1133,51,62
170311913011,2167,52,56
170311913012,1488,51,57
170311913013,1559,45,59
170311913021,2507,52,55
170311913022,2433,49,57
170312001001,837,53,53
170312001002,1433,52,52
170312001003,1848,52,52
170312002001,1066,58,58
170312002002,1645,60,60
170312002003,1147,62,62
170312002004,1304,59,59
170312003001,860,56,56
170312003002,1155,60,60
170312004011,1200,54,64
170312004012,2543,57,62
170312004021,1598,55,57
170312004022,1433,57,57
170312004023,1161,57,57
170312101001,1461,46,46
170312101002,1508,41,41
170312101003,1097,45,46
170312104001,1800,44,44
170312104002,1112,49,49
170312105011,1162,38,38
170312105012,2393,43,43
170312105021,1823,45,45
170312105022,1209,42,42
170312105023,1067,46,46
170312106011,660,34,34
170312106012,712,34,34
170312106013,1345,34,34
170312106021,1292,39,39
170312106022,956,36,36
170312106023,1900,35,35
170312107001,948,44,44
170312107002,1381,41,41
170312107003,1578,40,40
170312108001,986,46,46
170312109001,2130,48,48
170312109002,1040,45,45
170312203001,1241,46,46
170312203002,966,43,43
170312204001,1097,43,43
170312204002,1482,41,41
170312205001,1147,38,38
170312205002,835,40,40
170312205003,769,35,35
170312206011,749,40,40
170312206012,886,45,45
170312206021,1164,33,33
170312206022,1776,39,39
170312206023,889,41,41
170312206024,1048,39,39
170312207011,819,51,51
170312207012,729,48,48
170312207013,1372,51,51
170312207021,1291,47,47
170312207022,738,50,50
170312207023,819,50,50
170312207024,805,44,44
170312209011,882,56,56
170312209012,1022,54,54
170312209013,999,57,57
170312209021,1404,53,53
170312209022,1555,51,51
170312210001,1196,47,47
170312210002,1236,49,49
170312211001,1587,44,44
170312211002,1778,48,48
170312211003,1075,45,45
170312212001,1352,48,48
170312212002,1602,44,44
170312213001,1458,39,39
170312213002,1075,40,40
170312213003,529,42,42
170312214001,1200,38,38
170312214002,1021,36,36
170312214003,1164,41,41
170312215001,1221,44,44
170312215002,1688,44,44
170312216001,1639,48,48
170312216002,1520,45,45
170312222001,1020,44,44
170312222002,1136,39,39
170312225001,1415,46,46
170312226001,1599,52,52
170312227001,931,50,50
170312227002,1151,47,47
170312228001,960,50,50
170312229001,1089,56,56
170312301001,1504,57,57
170312302001,1834,50,50
170312303001,956,52,52
170312304001,1069,51,57
170312304002,1166,53,59
170312305001,2265,56,59
170312305002,1154,57,63
170312306001,701,56,62
170312306002,1337,59,62
170312306003,1011,56,63
170312306004,924,58,65
170312306005,1572,57,66
170312306006,1272,58,66
170312307001,1403,46,59
170312307002,1165,50,62
170312307003,1644,55,62
170312307004,2006,49,60
170312308001,1234,51,56
170312309001,1699,52,52
170312309002,2069,55,55
170312309003,1276,52,52
170312311001,1214,55,60
170312312001,1242,59,63
170312312002,1126,60,64
170312312003,1170,61,65
170312312004,1164,58,64
170312312005,1281,63,63
170312315001,766,56,59
170312315002,865,59,64
170312315003,1136,66,68
170312315004,1383,60,66
170312315005,1505,64,64
170312402001,1556,49,50
170312403001,1362,45,45
170312405001,2610,46,46
170312406001,1489,45,45
170312407001,1499,49,49
170312408001,778,49,49
170312408002,909,51,51
170312409001,1122,57,57
170312410001,1235,52,52
170312410002,1128,51,51
170312411001,1711,50,50
170312411002,1863,53,53
170312412001,863,48,48
170312412002,851,48,48
170312413001,1848,47,47
170312414001,1355,40,40
170312414002,982,46,46
170312414003,1392,47,47
170312414004,1544,46,46
170312415001,1314,49,49
170312415002,674,48,48
170312415003,966,45,45
170312416001,1480,49,49
170312416002,2054,44,44
170312420001,1653,48,48
170312420002,1889,52,52
170312420003,1150,42,42
170312421001,1139,45,45
170312421002,1176,48,48
170312421003,1661,52,52
170312422001,1938,52,52
170312422002,2144,55,55
170312423001,1644,52,52
170312423002,1924,56,56
170312424001,1213,53,53
170312424002,1689,55,55
170312425001,1802,54,54
170312425002,1624,56,56
170312426001,1498,55,55
170312426002,1567,57,57
170312426003,1609,59,59
170312426004,991,58,58
170312427001,1938,56,59
170312428001,1507,56,58
170312429001,1405,56,56
170312429002,557,54,56
170312430001,999,57,57
170312430002,1235,59,59
170312431001,1416,56,56
170312431002,833,57,57
170312432001,1148,54,54
170312432002,1139,55,55
170312433001,869,52,52
170312433002,1562,54,54
170312434001,1307,50,50
170312434002,619,51,51
170312434003,954,54,54
170312435001,1354,51,51
170312435002,3392,49,49
170312502001,1390,50,69
170312502002,1389,49,67
170312503001,1350,52,63
170312503002,953,53,63
170312503003,1834,49,59
170312503004,605,48,59
170312504001,682,55,57
170312504002,1266,49,59
170312504003,1451,55,57
170312504004,900,53,57
170312504005,1490,48,62
170312505001,1266,46,68
170312505002,1406,49,67
170312505003,887,51,61
170312505004,965,46,59
170312505005,825,42,57
170312505006,827,41,51
170312505007,1139,44,51
170312506001,961,50,60
170312506002,1101,51,61
170312506003,1096,57,60
170312506004,1045,55,59
170312507001,1194,56,65
170312507002,1125,58,67
170312507003,998,54,64
170312507004,1100,49,59
170312507005,1515,53,63
170312508001,1260,55,69
170312508002,1172,57,68
170312510001,1075,52,69
170312511001,1037,57,69
170312511002,1113,56,72
170312511003,918,61,71
170312511004,1400,60,69
170312512001,722,52,62
170312512002,728,61,69
170312512003,906,57,66
170312512004,1554,56,65
170312513001,1126,52,62
170312513002,827,54,64
170312513003,807,58,63
170312513004,991,56,62
170312513005,1347,61,61
170312514001,684,57,66
170312514002,707,56,65
170312514003,1369,62,65
170312514004,1226,61,67
170312515001,913,62,71
170312515002,857,64,73
170312515003,900,57,66
