station,boardings_2018,boardings_2016,boardings_2014,boardings_2002,alightings_2018,alightings_2016,alightings_2014,alightings_2002
Ravenswood,"2,630","2,721","2,363","1,455","2,545","2,752","2,089","1,373"
Ravinia,326,295,238,330,249,305,212,333
Richton Park,"1,059","1,179","1,315","1,579",915,"1,146","1,172","1,587"
River Forest,448,438,434,390,441,532,366,374
River Grove,333,316,310,336,282,287,298,332
Riverdale,146,180,201,500,162,195,215,495
Riverside,493,499,501,438,574,574,608,562
Robbins,65,89,77,113,137,122,89,126
Rogers Park,"1,393","1,389","1,498",973,"1,261","1,220","1,273",861
Romeoville,148,-,-,-,144,-,-,-
Roosevelt Road,370,484,429,413,477,628,571,668
Roselle,"1,448","1,455","1,277","1,298","1,369","1,409","1,361","1,325"
Rosemont,27,35,33,-,28,33,36,-
Round Lake,395,417,513,566,406,337,471,550
Round Lake Beach,111,115,157,157,91,111,155,141
Route 59,"6,339","5,781","5,874","5,001","6,103","5,547","5,363","4,976"
Schaumburg,"1,583","1,727","1,737","1,609","1,563","1,735","1,771","1,634"
Schiller Park,41,36,29,-,48,31,33,-
South Bend Airport,-,-,-,105,-,-,-,102
South Shore,121,182,179,428,111,142,164,431
State Street,41,30,54,72,33,32,46,67
Stewart Ridge,19,36,37,75,20,28,38,56
Stone Avenue (LaGrange),946,"1,046","1,026",999,822,864,905,894
Stony Island,99,109,161,236,86,141,135,229
Summit,101,100,86,79,103,104,78,82
Tinley Park,917,"1,060",983,"1,193",954,959,"1,042","1,217"
Union Station,"54,882","55,494","54,422","49,883","55,979","55,565","55,098","50,337"
University Park,808,907,939,"1,004",777,828,935,979
Van Buren Street,"2,734","3,141","3,422","6,896","3,493","3,893","4,268","8,583"
Vernon Hills,409,370,435,284,365,384,436,256
Villa Park,870,828,841,914,852,825,898,896
Washington Heights,101,107,168,249,123,137,161,286
Washington St. (Grayslake),86,110,122,-,84,95,108,-
Waukegan,764,911,910,893,737,796,926,924
West Chicago,586,527,576,585,589,556,583,584
West Hinsdale,306,376,351,317,306,304,281,262
West Pullman,13,22,21,34,9,19,32,33
Western Avenue (18th),57,69,78,77,73,77,108,77
Western Avenue (Grand),836,824,851,632,846,"1,279",888,"1,154"
Western Springs,"1,134","1,133","1,113","1,065","1,190","1,118","1,107","1,055"
Westmont,"1,083","1,058","1,070","1,243",960,"1,096","1,107","1,236"
Wheaton,"1,618","1,577","1,506","1,655","1,538","1,700","1,538","1,661"
Wheeling,348,353,333,235,332,398,334,228
Willow Springs,148,115,95,142,159,125,106,106
Wilmette,"1,653","1,614","1,120","1,363","1,560","1,506","1,172","1,338"
Windsor Park,68,95,100,313,55,76,91,293
Winfield,496,507,517,449,536,548,542,461
Winnetka,754,737,485,630,761,741,598,634
Winthrop Harbor,59,61,70,77,73,68,73,75
Wood Dale,596,624,608,551,585,550,564,568
Woodstock,273,317,437,415,286,308,381,410
Worth,406,419,430,450,382,431,435,399
Wrightwood,261,226,294,152,260,227,295,157
Zion,110,124,155,103,102,122,155,107
