trctid,workers,lat,lon
17031816600,31,41.9038668354839,-87.8806883967742
17031830900,31,41.9300504806452,-87.6887196032258
17043840910,31,41.9102575806452,-88.071954283871
17043841307,31,41.9195212516129,-88.1609855451613
17043841318,31,41.9602176741935,-88.1690605548387
17043845807,31,41.7341924677419,-87.9914801
17043846304,31,41.7429682806452,-88.094121367742
17089850708,31,42.0811359580645,-88.3672920483871
17097864411,31,42.1761237548387,-88.1046853903226
17097864513,31,42.2261207870968,-87.9610942870968
17111871201,31,42.219653683871,-88.3466196548387
17031062900,30,41.9367750433333,-87.6564570833334
17031080201,30,41.9095475666667,-87.6310455333333
17031140601,30,41.9653982,-87.72606574
17031150600,30,41.9491711833333,-87.7718001033333
17031241100,30,41.9063720533333,-87.6897404466667
17031251400,30,41.8915097666667,-87.77033026
17031251500,30,41.89120697,-87.76111468
17031802505,30,42.1253668366667,-87.9060385266667
17031804105,30,42.0923677066667,-88.10310275
17031813500,30,41.8588339033333,-87.7758306733333
17043840908,30,41.9121026933333,-88.0532565133333
17043841325,30,41.9349401233333,-88.15809232
17043845602,30,41.7879590333333,-87.9920451833334
17089850800,30,42.0545798533333,-88.2727709366667
17089851600,30,42.02783272,-88.2894307966667
17089851913,30,42.0144464633334,-88.3583115066667
17093890402,30,41.66801229,-88.4183560833333
17097860906,30,42.3519888066667,-88.13959652
17097861504,30,42.3437436566667,-87.9005829466667
17097864109,30,42.2761191933333,-88.09194564
17097864410,30,42.1865057333333,-88.06542854
17097864412,30,42.1667126566667,-88.0792379766667
17111871108,30,42.1970052833333,-88.37185727
17111871114,30,42.1695114266667,-88.40719402
17111871301,30,42.2352677766667,-88.3197036666667
17031010600,29,42.0050224413793,-87.6673801724138
17031061901,29,41.9428108,-87.6432738517242
17031080400,29,41.9087172724138,-87.6402885413793
17031160601,29,41.9590269758621,-87.7027502862069
17031191302,29,41.920895562069,-87.7705832379311
17031230900,29,41.9065078172414,-87.7100968724138
17031241600,29,41.9071379344828,-87.6659335758621
17031242300,29,41.8997744827586,-87.6793616413793
17031660600,29,41.7771007931034,-87.6927515448276
17031801608,29,42.1055917965517,-87.8332037689655
17031804315,29,42.0206872724138,-88.1885520586207
17031806400,29,42.0287790448276,-87.8848577758621
17031807000,29,42.044185,-87.7532555034483
17031811302,29,41.9136614172414,-87.8600725103448
17031813400,29,41.8609103344828,-87.7682354275862
17031814900,29,41.8535519758621,-87.791430462069
17043841206,29,41.9132494551724,-88.135002562069
17043844602,29,41.8621268896552,-87.9371697172414
17043845601,29,41.7778898793104,-87.9959018482759
17043846207,29,41.7333801310345,-88.1397611206897
17089851904,29,42.0361987724138,-88.3311859517242
17093890103,29,41.7040223931035,-88.3060747896552
17097864403,29,42.1682174172414,-88.0416562724138
17111871109,29,42.1898964034483,-88.3928932586207
17111871111,29,42.1739600896552,-88.3801328034483
17031010201,28,42.0160123,-87.6811403785714
17031020602,28,42.0008119714286,-87.6943557357143
17031030200,28,41.9941884678572,-87.6646006
17031063302,28,41.9351774785714,-87.6402283892857
17031080300,28,41.9079178535714,-87.6353164357143
17031090100,28,42.0150747678571,-87.8130795178571
17031160900,28,41.9501285928571,-87.7217093535714
17031170800,28,41.9411010785714,-87.8138102035714
17031230700,28,41.9064053321429,-87.72140605
17031240500,28,41.9120443928571,-87.6842621821429
17031281900,28,41.8793083821429,-87.6437741464286
17031803007,28,42.1320351785714,-87.9704866607143
17031804505,28,41.9924867357143,-88.1792149321429
17031804808,28,42.021336175,-88.0995321785714
17031805801,28,42.0196564571429,-87.8589134285714
17031807200,28,42.03699815,-87.7203428428572
17031807600,28,42.0220321035714,-87.7301496928571
17031815400,28,41.8310446964286,-87.7946397357143
17043841109,28,41.94006405,-88.0717093964286
17043842200,28,41.8747591214286,-88.066956825
17043842704,28,41.8481761214286,-88.0858079392857
17043844306,28,41.854002975,-87.9813567
17043846509,28,41.7618040285714,-88.2195998107143
17089850301,28,42.1321629571429,-88.2641640857143
17089854505,28,41.8683550964286,-88.3858056714286
17093890401,28,41.6645170821429,-88.4557547285714
17093890703,28,41.52540865,-88.3259844607143
17097864108,28,42.2576337714286,-88.0112141178571
17097864522,28,42.1907903,-87.9000771571429
17111871112,28,42.2225299107143,-88.3778562357143
17111871113,28,42.2014441857143,-88.3978103357143
17111871206,28,42.1673981,-88.3355933107143
17111871207,28,42.1845989107143,-88.339981425
17031050500,27,41.9498655518519,-87.6828598740741
17031081300,27,41.8986996074074,-87.6205527481482
17031081700,27,41.8929193111111,-87.6321389925926
17031161100,27,41.9505926333333,-87.7373189740741
17031221600,27,41.9211563592593,-87.6851492481482
17031250600,27,41.9056715666667,-87.7709678962963
17031320102,27,41.8854889148148,-87.6241143074074
17031330101,27,41.863659937037,-87.6208419259259
17031801605,27,42.132234562963,-87.8642961296296
17031806802,27,42.0447631851852,-87.7421026370371
17031807800,27,42.0096249666667,-87.7573400222222
17031814800,27,41.8513169444444,-87.7981028518518
17043842602,27,41.8417894703704,-88.1186629333333
17043842900,27,41.8995571962963,-87.9410101074074
17043843100,27,41.8972431333333,-87.9753629592593
17089850103,27,42.1160152296296,-88.326359737037
17089851400,27,42.0289463074074,-88.2684184185185
17089852500,27,41.8916111481482,-88.2878560777778
17089852700,27,41.8534890888889,-88.3196258370371
