shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
X2_NB,41.908122,-87.661886,74
X2_NB,41.910198,-87.663774,75
X2_NB,41.917096,-87.668152,76
X2_NB,41.918757,-87.670469,77
X2_NB,41.928346,-87.68772,78
X2_NB,41.939571,-87.707253,79
X2_NB,41.952533,-87.730122,80
X2_NB,41.960616,-87.744389,81
X2_NB,41.971712,-87.76351,82
X2_NB,41.979783,-87.778058,83
X2_NB,41.991586,-87.798872,84
X2_NB,42.002558,-87.818012,85
X2_NB,42.010275,-87.831616,86
X2_NB,42.024144,-87.856207,87
X2_NB,42.040943,-87.886505,88
X2_NB,42.045835,-87.897384,89
X2_NB,42.052479,-87.912254,90
X2_NB,42.063026,-87.936072,91
X2_NB,42.084306,-87.98358,92
X2_NB,42.095261,-88.009114,93
X2_NB,42.11306,-88.048253,94
X2_SB,42.11306,-88.048253,1
X2_SB,42.095261,-88.009114,2
X2_SB,42.084306,-87.98358,3
X2_SB,42.063026,-87.936072,4
X2_SB,42.052479,-87.912254,5
X2_SB,42.045835,-87.897384,6
X2_SB,42.040943,-87.886505,7
X2_SB,42.024144,-87.856207,8
X2_SB,42.010275,-87.831616,9
X2_SB,42.002558,-87.818012,10
X2_SB,41.991586,-87.798872,11
X2_SB,41.979783,-87.778058,12
X2_SB,41.971712,-87.76351,13
X2_SB,41.960616,-87.744389,14
X2_SB,41.952533,-87.730122,15
X2_SB,41.939571,-87.707253,16
X2_SB,41.928346,-87.68772,17
X2_SB,41.918757,-87.670469,18
X2_SB,41.917096,-87.668152,19
X2_SB,41.910198,-87.663774,20
X2_SB,41.908122,-87.661886,21
X2_SB,41.907036,-87.660985,22
X2_SB,41.905727,-87.66047,23
X2_SB,41.903426,-87.660335,24
X2_SB,41.901606,-87.659869,25
X2_SB,41.900265,-87.658753,26
X2_SB,41.899083,-87.65665,27
X2_SB,41.898248,-87.652831,28
X2_SB,41.897434,-87.650192,29
X2_SB,41.896827,-87.648754,30
X2_SB,41.895693,-87.647316,31
X2_SB,41.894399,-87.645987,32
X2_SB,41.890518,-87.642038,33
X2_SB,41.888957,-87.641394,34
X2_SB,41.884432,-87.641273,35
X2_SB,41.877742,-87.641044,36
X2_SB,41.86978,-87.640785,37
X2_SB,41.868573,-87.64073,38
X2_SB,41.868318,-87.640666,39
X2_SB,41.868102,-87.640612,40
X2_SB,41.867926,-87.640505,41
X2_SB,41.867759,-87.640322,42
X2_SB,41.867599,-87.640097,43
X2_SB,41.867471,-87.639882,44
X2_SB,41.867359,-87.639636,45
X2_SB,41.867287,-87.639314,46
X2_SB,41.867255,-87.63897,47
X2_SB,41.867433,-87.627466,48
X2_SB,41.867463,-87.623939,49
X2_SB,41.867487,-87.623381,50
X2_SB,41.867583,-87.622813,51
X2_SB,41.867671,-87.622341,52
X2_SB,41.867719,-87.62189,53
X2_SB,41.867711,-87.621547,54
X2_SB,41.867623,-87.621214,55
X2_SB,41.867471,-87.620946,56
X2_SB,41.867239,-87.620678,57
X2_SB,41.866928,-87.62042,58
X2_SB,41.866398,-87.620222,59
X2_SB,41.866105,-87.620174,60
X2_SB,41.863969,-87.620066,61
X2_SB,41.858502,-87.618198,62
X2_SB,41.851534,-87.61631,63
X2_SB,41.844182,-87.61322,64
X2_SB,41.833918,-87.608886,65
X2_SB,41.824736,-87.602285,66
X2_SB,41.80974,-87.591333,67
X2_SB,41.805902,-87.588587,68
X2_SB,41.802671,-87.587428,69
X2_SB,41.800015,-87.586784,70
X2_SB,41.797328,-87.586827,71
X2_SB,41.79336,-87.587643,72
X2_SB,41.788049,-87.58863,73
X2_SB,41.780241,-87.590475,74
X2_SB,41.773259,-87.592034,75
X2_SB,41.770256,-87.592707,76
X2_SB,41.768367,-87.592406,77
X2_SB,41.767343,-87.59202,78
X2_SB,41.766542,-87.591162,79
X2_SB,41.766126,-87.589917,80
X2_SB,41.766062,-87.586913,81
X2_SB,41.766126,-87.575884,82
X2_SB,41.766222,-87.567558,83
X2_SB,41.766126,-87.566528,84
X2_SB,41.765102,-87.565627,85
X2_SB,41.758572,-87.559404,86
X2_SB,41.752233,-87.552538,87
X2_SB,41.750952,-87.55168,88
X2_SB,41.745349,-87.551508,89
X2_SB,41.743364,-87.551465,90
X2_SB,41.742531,-87.551165,91
X2_SB,41.74013,-87.548976,92
X2_SB,41.737792,-87.548332,93
X2_SB,41.726647,-87.547774,94
X3_NB,41.609827,-87.643175,1
X3_NB,41.622533,-87.636051,2
X3_NB,41.633343,-87.6303,3
X3_NB,41.646589,-87.623305,4
X3_NB,41.652297,-87.620044,5
X3_NB,41.655856,-87.618842,6
X3_NB,41.659414,-87.617934,7
X3_NB,41.678301,-87.613652,8
