crosstownerstation-zion	Zion	42.449111	-87.818098
crosstownerstation-winthrop-harbor	Winthrop Harbor	42.482764	-87.816167
crosstownerstation-kenosha	Kenosha	42.585918	-87.825780
crosstownerstation-barrington	Barrington	42.152651	-88.131981
crosstownerstation-fox-river-grove	Fox River Grove	42.197749	-88.219442
crosstownerstation-cary	Cary	42.209003	-88.241458
crosstownerstation-crystal-lake	Crystal Lake	42.244118	-88.317246
crosstownerstation-woodstock	Woodstock	42.317178	-88.447666
crosstownerstation-harvard	Harvard	42.419782	-88.617783
crosstownerstation-healy	Healy	41.924760	-87.727804
crosstownerstation-grayland	Grayland	41.948894	-87.740336
crosstownerstation-mayfair	Mayfair	41.960160	-87.746215
crosstownerstation-forest-glen	Forest Glen	41.978156	-87.755528
crosstownerstation-edgebrook	Edgebrook	41.997838	-87.765570
crosstownerstation-niles	Niles	42.019053	-87.776727
crosstownerstation-morton-grove	Morton Grove	42.035014	-87.785053
crosstownerstation-golf	Golf	42.058279	-87.796984
crosstownerstation-long-lake	Long Lake	42.368057	-88.127990
crosstownerstation-glenview	Glenview	42.074973	-87.805653
crosstownerstation-the-glen-north-glenview	The Glen/North Glenview	42.097458	-87.815824
crosstownerstation-lake-cook-road	Lake-Cook Road	42.151823	-87.841229
crosstownerstation-deerfield	Deerfield	42.168079	-87.849941
crosstownerstation-west-lake-forest	West Lake Forest	42.223623	-87.874703
crosstownerstation-abbott-park	Abbott Park	42.309083	-87.901891
crosstownerstation-lakehurst	Lakehurst	42.344724	-87.906012
crosstownerstation-prospect-heights	Prospect Heights	42.092395	-87.907920
crosstownerstation-ravinia	Ravinia	42.165153	-87.782736
crosstownerstation-ravinia-park-seasonal	Ravinia Park (Seasonal)	42.158123	-87.777071
crosstownerstation-glencoe	Glencoe	42.135691	-87.758145
crosstownerstation-hubbard-woods	Hubbard Woods	42.118058	-87.743468
crosstownerstation-winnetka	Winnetka	42.105228	-87.732868
crosstownerstation-indian-hill	Indian Hill	42.094497	-87.723813
crosstownerstation-kenilworth	Kenilworth	42.086376	-87.716689
crosstownerstation-wilmette	Wilmette	42.077266	-87.709265
crosstownerstation-mount-prospect	Mount Prospect	42.063026	-87.936072
crosstownerstation-dee-road	Dee Road	42.024144	-87.856207
crosstownerstation-grand-cicero	Grand/Cicero	41.914446	-87.746086
crosstownerstation-elgin-chicago-st	Elgin - Chicago St	42.036162	-88.286133
crosstownerstation-elgin-big-timber-rd	Elgin - Big Timber Rd	42.058597	-88.327675
crosstownerstation-villa-park	Villa Park	41.896400	-87.977529
crosstownerstation-lombard	Lombard	41.886592	-88.018642
crosstownerstation-glen-ellyn	Glen Ellyn	41.876559	-88.064647
crosstownerstation-wheaton-college-ave	Wheaton - College Ave	41.868219	-88.090181
crosstownerstation-wheaton-gary-ave	Wheaton - Gary Ave	41.864511	-88.111982
crosstownerstation-winfield	Winfield	41.869944	-88.156872
crosstownerstation-west-chicago	West Chicago	41.881001	-88.199015
crosstownerstation-geneva	Geneva	41.881576	-88.309994
crosstownerstation-la-fox	La Fox	41.886752	-88.412218
crosstownerstation-elburn	Elburn	41.890522	-88.464060
crosstownerstation-belmont	Belmont	41.795248	-88.037910
crosstownerstation-lisle	Lisle	41.797872	-88.071814
crosstownerstation-naperville	Naperville	41.779697	-88.145456
crosstownerstation-route-59	Route 59	41.777905	-88.208799
crosstownerstation-aurora	Aurora	41.760556	-88.308277
crosstownerstation-western-archer	Western/Archer	41.828047	-87.683627
crosstownerstation-summit	Summit	41.794992	-87.809601
crosstownerstation-willow-springs	Willow Springs	41.733340	-87.878351
crosstownerstation-lemont	Lemont	41.673553	-88.002033
crosstownerstation-romeoville	Romeoville	41.636589	-88.049278
crosstownerstation-lockport	Lockport	41.585148	-88.060656
crosstownerstation-lasalle-street-station	LaSalle Street Station	41.876144	-87.632103
crosstownerstation-ashland-75th	Ashland/75th	41.757730	-87.663650
crosstownerstation-wrightwood	Wrightwood	41.748871	-87.703643
crosstownerstation-ashburn	Ashburn	41.741635	-87.712483
crosstownerstation-oak-lawn	Oak Lawn	41.719472	-87.748575
crosstownerstation-chicago-ridge	Chicago Ridge	41.703358	-87.780290
crosstownerstation-worth	Worth	41.691341	-87.795868
crosstownerstation-179th-street	179th Street	41.563862	-87.902513
crosstownerstation-laraway-road	Laraway Road	41.484534	-87.959804
crosstownerstation-manhattan	Manhattan	41.418401	-87.988815
crosstownerstation-95th-street-longwood	95th Street - Longwood	41.721170	-87.650299
crosstownerstation-103rd-washington-heights	103rd (Washington Heights)	41.705600	-87.655878
crosstownerstation-robbins	Robbins	41.640784	-87.694416
crosstownerstation-homewood	Homewood	41.562449	-87.668624
crosstownerstation-flossmoor	Flossmoor	41.543052	-87.678623
crosstownerstation-evanston-central-st	Evanston - Central St	42.064332	-87.698193
crosstownerstation-evanston-davis-st	Evanston - Davis St	42.047763	-87.684631
crosstownerstation-evanston-main-st	Evanston - Main St	42.033421	-87.680254
crosstownerstation-howard-clark	Howard/Clark	42.019245	-87.676962
crosstownerstation-rogers-park	Rogers Park	42.008999	-87.675533
crosstownerstation-peterson-ridge	Peterson/Ridge	41.991487	-87.675032
crosstownerstation-ravenswood	Ravenswood	41.968808	-87.674332
crosstownerstation-addison-lincoln	Addison/Lincoln	41.946957	-87.673744
crosstownerstation-des-plaines	Des Plaines	42.040943	-87.886505
crosstownerstation-park-ridge	Park Ridge	42.010275	-87.831616
